post_id,posted_at,genre,post_type,hashtags,hashtag_reach_score,total_engagements,likes,comments,shares,saves,engagement_rate,positive_sentiment_pct,neutral_sentiment_pct,negative_sentiment_pct,avg_view_duration,completion_rate,age_13_17_pct,age_18_24_pct,age_25_34_pct,age_35_44_pct,age_45_54_pct,age_55_90_pct,region_north_america_pct,region_europe_pct,region_asia_pct,region_south_america_pct,region_africa_pct,region_oceania_pct,device_mobile_pct,device_desktop_pct,device_tablet_pct
27b02e69-984b-4294-8928-f13ed4724ddf,2024-01-04 23:17:00,food,carousel,"#cooking, #foodie, #innovation, #gameplay, #foodporn",400,5012,2452,804,371,228,76.92,43.5,45.2,11.3,45,0.8131906326090883,1.8,13.4,31.0,1.6,12.2,39.9,28.7,0.2,28.6,24.8,12.1,5.5,72.0,4.7,23.3
659e45d9-d9da-4f5a-9137-55d08bcf8211,2024-02-18 08:29:00,food,reel,"#fitness, #motivation, #foodporn, #gadgets, #wellness, #adventure, #foodporn",453,6977,3244,720,513,265,67.97,67.3,26.6,6.1,37,0.5308603870047001,20.7,17.4,8.0,15.0,8.8,30.1,26.3,1.9,28.2,27.6,13.7,2.3,6.0,14.0,80.0
4d68c7f9-8f3c-4b4a-8df6-1aa5595db1ae,2024-03-08 08:35:00,gaming,video,"#streamer, #style, #gamer, #ai, #lifestyle, #motivation, #skincare",532,1188,798,79,107,47,86.78,70.7,19.2,10.1,281,0.7531591179814834,10.2,5.5,0.1,25.2,25.1,33.9,23.1,31.1,18.7,7.3,13.8,6.0,17.0,55.9,27.1
d135f8c9-20be-4ff2-8ada-857d4dd7ece8,2024-02-09 12:42:00,tech,video,"#gaming, #tech, #inspiration, #gameplay, #glam, #gadgets",416,7118,4094,908,211,135,75.13,53.5,32.7,13.8,147,0.5775768410405804,10.1,9.6,3.1,27.6,10.0,39.6,22.3,7.2,4.4,31.2,19.1,15.8,22.1,61.8,16.1
6de676c5-1688-423e-8378-b22a649768d8,2024-02-26 17:06:00,food,reel,"#gadgets, #beauty, #selfcare, #recipe",251,1828,1208,239,38,25,82.6,70.1,21.3,8.5,66,0.8649576763374538,14.4,17.1,30.6,32.0,5.8,0.1,7.8,19.1,20.0,21.5,18.2,13.4,6.9,6.8,86.3
8ed74dc3-9124-4ca3-b031-95e8021792b3,2024-03-15 19:02:00,tech,carousel,"#ai, #gadgets, #innovation, #ai",238,2343,1330,322,144,111,81.39,48.2,36.1,15.7,109,0.7124982772807984,8.9,14.8,25.1,11.2,11.8,28.1,29.6,2.2,6.3,7.9,27.8,26.2,24.0,43.5,32.5
aee0b78c-4b0f-42ae-b6bb-1f219538e947,2024-03-05 15:16:00,lifestyle,video,"#esports, #inspiration, #adventure",209,1832,800,207,77,18,60.15,70.8,14.6,14.6,141,0.39551870578843873,12.7,35.9,26.7,20.7,0.5,3.6,28.8,20.1,5.1,4.4,10.6,31.0,43.6,36.9,19.4
70ad155a-97af-48df-9b6a-4c58ca39630c,2024-02-18 01:54:00,food,reel,"#lifestyle, #tasty, #foodporn, #foodie, #cooking",406,8711,4259,1502,494,193,74.02,71.8,19.8,8.4,40,0.8693246915827886,0.9,7.3,12.4,32.6,36.4,10.5,14.5,25.4,3.1,26.2,4.8,26.0,50.2,39.3,10.5
ed9e252a-fe0e-4d6c-8cec-5e6659166d6c,2024-03-20 10:42:00,fitness,reel,"#wellness, #health, #gamer, #tech",227,3041,2091,289,136,80,85.37,56.1,34.5,9.4,217,0.8316821454305889,3.5,11.4,25.5,18.4,24.5,16.7,10.0,15.0,20.3,22.9,16.3,15.5,41.6,25.9,32.5
36ece4c6-7a8c-47dc-8d83-f8640fb47d5e,2024-03-30 12:31:00,tech,video,"#beauty, #ai, #gadgets, #health, #gaming, #coding, #tech, #workout",574,7547,3755,1120,154,302,70.64,70.8,22.6,6.6,114,0.33853731042832685,17.9,7.4,40.3,21.8,2.1,10.5,14.2,21.0,12.7,20.2,18.9,13.0,13.1,24.5,62.3
